" اونی که توی عکس زده نیست, روی لب کلن یه رنگ دیگه میشه, چرب و نرمه, ولی یکمی شاین داره و مات نیست ",رنگش,negative,"['رنگ: Positive', 'چگب و نرمی: Positive', 'شاین: Negative']"
از هر لحاظ که بخوای حساب کنی گوشی عالیه ظاهر باتری کارایی من سه ماهه گوشیو دارم از همه چی راضی ام فقط یخوره کیفیت صفحه ش تو ذوق میزنه رنگ ها رو مرده نشون میده ,"ظاهر, گوشی, کارایی, باتری, صفحه","positive, positive, positive, positive, negative","['برنامه‌رسانی: Negative', ' pigment صفحه: Negative', ' macrophage: Positive']"
از هر لحاظ گوشی بسیار مناسب و عالی برای خرید شک نکنید. من دارم و استفاده میکنم خیلی راضی هستم. ,گوشی,positive,"['بازار: Positive', ' Quality: Positive']"
از هر نطر گوشیه خوبیه حتی وزنشم بنظر من سبکه. فقط مشکل تارشدن نفرات عقب تر تو عکس سلفی یکی از بزرگترین ضعفاشه ,"وزنشم, گوشیه, عکس سلفی","positive, positive, negative","['وزن: Positive', 'تارشدن نفرات: Negative']"
از هر نظر تو این رنج قیمت عالیه ,قیمت,positive,"From the given Persian comment: ""از هر نظر تو این رنج قیمت عالیه"", the following aspects and sentiments are identified:

['رنج قیمت: Negative', 'uality: Positive']"
از هر نظر خوبه، فقط دوربینش برای واید همون ۱۲ مگاپیکسل ه و دیگه اینکه قابلیت OTGنداره ,دوربینش,negative,"['د befindetری: Positive', ' دوربین: Positive', 'OTG: Positive']"
از هر نظر عالی هست   سرعت رنگی نسبت به رقبا عالی  سرعت سیاه و سفید در حد لیزری  کیفیتش فوق العادست  مطمعن باشد از خریدنش پشیمون نمیشید ,"کیفیتش, سرعت سیاه و سفید, سرعت رنگی","positive, positive, positive","['سرعت رنگی: Positive', 'سرعت سیاه و سفید: Positive', 'کیفیت: Positive', 'مطمعن: Positive']"
از هر نظر عالییه من دوماه دارمش اصلا هنگ نمیکنه داغ نمیکنه شارژ از شب تا صبح دو درصد کم میکنه باطریش خوب شارژ نگه میداره وظاهره زیبایی داره کلا هرکی تو این قیمت هزینه مکنه بهترین گزینه است لطفا با برند اپل مقایسه نکنید چون اپل فقط پول برند میدید وهیچ کارایی نداره فقط محدودیته. موفق باشید. ,اپل,negative,"['انتظرش: Positive', 'شارژ: Negative', 'باتری: Negative', 'ظاهره: Positive', 'هزینه: Positive']"
از هر نظر کابل خوب و باکیفیتی هستش … ,کابل,positive,"['اشتبقات: Positive', 'باکیفیتی: Positive']"
از همه لحاظ خوب بود خیلی کیفیتش خوبه فقط سوکت کویک شارژش روی گوشی سامسونگ عمل نکرد گوشی من سام c۵ هست خودش فست شارژ داره و گوشیمم فست شارژ پشتیبانی میکنه ولی با فست شارژ این شارژر خیلی کند شارژ شد- معمولی شارژ شد بین شارژرهایی که تو سایت دیدم و تو بازار هست این کیفیتش خوبه همزمان سه تا گوشی رو زدم بهش راحت تونست شارژشون کنه ولی فست شارژش عمل نمیکنه و مثل شارژر معمولی شارژ میکنه-البته باید روی گوشی های دیگه ای که فست داره تست کنم و اطلاع بدم خدمتتون ,"کیفیتش, سوکت, کیفیتش","positive, negative, positive","['品質: Positive', 'شارژر: Negative', 'سرعتشارژ: Negative']"
از همه لحاظ راضی هستم. کارایی فوق العاده ای داره بخصوص برای من که همیشه دوربین خوبی میخواستم که در عین کیفیت جمع و جور هم باشه و بتونم در مسافرت راحت حمل کنم. ویژگی های بسیار، زیادی داره که تو این چند روزه هنوز، همشو کشف نکردم. یه راهنمای ۲۲۵ صفحه ای به صورت pdf داره که توصیه میکنم دانلود کنید در ضمن صفحه نمایش هم لمسی است که در توضیحات دیجی کالا ذکر نشده. ,"کیفیت, صفحه نمایش","positive, neutral","['کارایی: Positive', '品質: Positive', 'حمل: Positive', 'Características: Positive', 'راهنما: Positive', 'نمایش: Positive']"
از همه لحاظ عالی است و دوربین ان هم عالی است! میگویید چرا? بخاطر این است که روش عکس برداری با دوربین این موبایل کمی متفاوت است برای عکس برداری با کیفیت خوب با دوربین این موبایل میبایست بر روی سوژه خود کلیک طولانی کنید که فوکوس بر روی ان قفل شود سپس بدون لرزاندن عکس دکمه شاتر را بزنید و از عکاسی لذت ببرید از لحاظ سخت افزار که حرف ندارد و زمرد میان ردهها است حتما پیشنهاد میکنم بخرید (در ارزیابی من اشتباهی کردم و ارزش خرید در برابر قیمت را متوسط قرار دادم مگر نه ارزش خرید بسیار زیادی در برابر قیمت دارد!) ,ارزش خرید,neutral,"['حالت افزار: Positive', 'دروبین: Positive', 'روش عکس برداری: Positive', 'سوژه: Positive']"
از همه لحاظ عالیه. مطمئنا از خریدتون پشیمون نمی شوید. ,همه لحاظ,positive,"[' Quality: Positive', 'Price: Positive']"
از همه نظر عالیه واقعا گوشی خوبیه من که بدی ازش ندیدم توصیه میکنم شما هم این گوشی رو ب عنوان یه میان رده عالی بخرید ,گوشی,positive,"['برنامه‌cování: Positive', ' Design: Positive', ' macrophages: Positive']"
از همه نظر گوشی عالی هستش هیچ لنگی نداشته و ندارد تا چند روز پیش که یه اپدیت براش اومد مشکل داره بعضی مواقع گوشی کند عمل میکنه کا انشاالله در بروز بعدی بیاد براش درست بشه ,اپدیت,negative,"['اپدیت: Negative', 'عمل: Positive']"
از همه نظر گوشیه خوبیه ,گوشیه,positive,['گوشیه: Positive']
از همه ی خودروهای در این حدود قیمت بهتر و کامل تر است. پدال گاز با کمی تاخیر عکس العمل نشان می دهد. به نظرم ظرفیت باک بنزینش هم باتوجه به مصرفش کم است. ,ظرفیت باک بنزینش,negative,"['پدال گاز: Negative', 'ظرفیت باک بنزین: Negative']"
از همهی لحاظ از نظر من عالی و با کسایی که ایراد گرفتن مخالفم سرعت شارژ شدنش متوسطه اما خیلیی دیر خالی میشه من پیشنهاد میکنم ,سرعت شارژ شدنش,neutral,"['سرعت شارژ: Negative', 'مدت عمر باتری: Negative', '品質: Positive']"
از همون روز اول باهاش مشکل پیدا کردم شارژش بشدت زود خالی میشد ولی بخاطر بزرگی صفحه جدی نگرفتمش الان بعد سه ماه مدارا کردن با این وضعیت باطریش باد کرده دوربینش به هیچ عنوان چیزی که گفته میشه نیست و کیفیتش اصلا قابل قبول نیست از لحاظ سخت افزاری ضعیفه و اکثر اپ هارو باز نمیکنه مشکل هنگ کردنم که واسش عادیه و روزی چن بار هنگ میکنه گلس و کاورم که واسش خیلی سخت پیدا میشه بشدت از خریدش پشیمونم و از سونی و دیجیکالا انتظار یه همچین محصول بی کیفیتی رو نداشتم ,"باطریش, کیفیتش, سونی, دیجیکالا, سخت افزاری, دوربینش, شارژش","negative, negative, negative, negative, negative, negative, negative","['شارژ: Negative', 'صفحه: Positive', 'باتری: Negative', 'دوربین: Negative', 'ualitas: Negative', 'سخت افزاری: Negative', 'اپ: Negative']"
از پردازنده بگیر تا بقیه سخت افزارهایش به جز صفحه بزرگتر هیچ برتری ای نسبت به a۵ ۲۰۱۷ ندارد اگر اندازه صفحه برایتان مهم نیس a۵ خوش دست تر نیز می باشد و با قیمت پایین تر موفق باشید ,a۵ ۲۰۱۷,positive,"[' پردازنده: Neutral', 'سخت افزارها: Neutral', 'صفحه: Positive']"
از کیفیت ساخت کابل شگفت زده میشید تا از نزدیک نبینید باور نمیکنید #نظر تو مهمه ,کیفیت,positive,"[' Acura: Positive', 'CABEL: Positive', 'Construction: Positive']"
از کیفیت و خدمات دیجیکالا بازم کمال سپاس رو دارم وقتی در کارتون رو باز کردم تبلت از زیبایی خاصی برخورداره رنگ مشکی و کناره ابی یه ترکیب بسیار شیک رو به وجود اورده که عالیه پشت تبلت دارای بافت غیر قابل لیز خوردنه که عالیه شکل تبلت واقعا عالیه و از استحکامات خوبی برخورداره کیفیت صفحه نمایش واقعا فوق العادس برای تبلتی در این رنج قیمت سرعت خوبی داشت گرافیک عالی و پرندازنده فوق العاده باطری در استفاده سنگین و مداوم حدود نیم روز دوام میاره که عالیه بعد چند مدت کار باهاش تنها ضعفی که در این تبلت میبینم توجه کنین از همه لحاظ عالیه عالی ولی بلندگوها در گوشی تلفن قرار گرفتن و صدای متوسطی داره و بدک نیست که میتونست بهتر باشه سیم کارت خور و قابلیت مکالمه داره یه تبلت فوق العاده و عالی ,بلندگوها,neutral,"['品質: Positive', ' خدمات: Positive', ' Design: Positive', '색: Positive', ' کناره: Positive', ' بافت: Positive', 'شکل: Positive', ' استحکام: Positive', ' صفحه نمایش: Positive', 'سرعت: Positive', 'گرافیک: Positive', ' پرندازنده: Positive', 'باتری: Negative', ' بلندگوها: Negative', 'سیم کارت: Positive', ' مکالمه: Positive']"
ازخریدم واقعا راضیم با این قیمت بهترین گزینه است. یه مقدار صداش زیاده شاید به خاطر سرعت چاپشه ولی در کل پرینتر خوبیه کیفیت چاپشم عالیه مخصوصا برای چاپ عکس پیشنهاد می کنم بخرید. ,کیفیت چاپشم,positive,"['قیمت: Positive', 'سرعت چاپ: Negative', '品質 چاپ: Positive', ' Quality of photos: Positive']"
ازش راضی ام صدای بلند وا با کیفیتی داره حتما پیشنها میکنم ,صدای,positive,"[' محصول: Positive', ' صدا: Positive', 'کیفیتی: Positive']"
ازلحاظ عطروطعم ومزه اصلا درحد روسای لاواتزا نیست ولی خب قهوه بدی هم نیست درحد متوسطه پیشنهاد من لاواتزا هست با قیمت کمتر وکیفیت بهتر ,لاواتزا,positive,"[' عطروطعم: Neutral', 'مزه: Neutral', 'قoffee: Positive']"
ازهر لحاظ عالی هر جای خونه باشه نیازی به دیزاین نداره بشدت حجم صدای زیادی داره راحت میشه باهاش یه مساحت زیادی رو صدای واضح پخش کرد. تو خونه که مطمئن باشید از بیس و سر وصداش همسایه ها میان سراغتون در کل با سایر برند ها قابل مقایسه نیست و توی کار خودش تکه در ضمن هارمن کلیه سیستم های صوتی ماشین های بنز و بی ام دبلیو و اکثر گوشیای پرچمدار و لپتاپا دیده میشه برند گمنامی نیست ,حجم صدای,positive,"['حجم صدا: Positive', 'صدا واضح: Positive', ' Design: Negative', 'ensity صدا: Positive', 'برنامه‌ریزی: Positive']"
ازهمه لحاظ عاشقش میشید اقایک کلام میگم بهترینه ازهمه لحاظ من خودم رنگ مشکی روخریدم واقعاعالی دوربین هاجفتش عالی رابطه کاربری ک حرف نداره والاتاگوشی رونگیری دستت نمیتونی الکی درموردش حرف الکی بزنی ,"رنگ مشکی, دوربین هاجفتش, رابطه کاربری","positive, positive, positive","['رنگ: Positive', 'رو색: Positive', 'بروز آوری: Negative', 'حرف: Positive', 'اطANDRA: Positive', 'دستور: Negative']"
ازهمه لحاظ عطر متوسطیه میتونید با یکم پول بیشتر انتخابای بهتری کنید ,عطر,neutral,"['ه función: Positive', ' Design: Positive', 'цена: Negative']"
ازهمه نظرعالیه توخریدش شک نکنید هم صدا هم شارژش فوق العادس ,هم صدا هم شارژش,positive,"['برنامه: Positive', 'صدا: Positive', 'شارژ: Positive']"
ازین هندزفری دو تا از دیجی کالا خریدم. یکی رو هدیه دادم و یکی هم همین امروز برای خودم خریدم و الانم دارم باهاش موزیک گوش میدم. خیلی خوبه. راضیم ,هندزفری,positive,"['هندزفری: Positive', 'موزیک: Positive']"
استارت موتور هارد با تاخیر اجرا میشه یعنی بعد از یه مدت که استندبای شد با دابل کلیک بر محتویات هارد، با چند ثانیه مکث مواجه میشین بسیار حساس به ضربه حتی ضربه های خیلی ضعیف در کل با قیمت فروش ویژه هارد مناسبیه اما با ریسک بالا ,استارت موتور هارد,negative,"['مotor: Positive', 'مدت اجرا: Negative', 'حساسیت: Negative', 'قیمت: Positive', 'ریسک: Negative']"
استفاده ازش اسونه قلمش بعد از یه مدت سرش نرم میشه خط کشیدن باهاش یه کم سخت میشه ولی در کل راحته ماندگاریش متوسطه رنگش اگه مشکیتر بود بهتر میشد یه حالت مشکی مات داره ,ماندگاریش,neutral,"['سرش نرم: Negative', 'خط کشیدن: Negative', 'راحت: Positive', 'رنگ: Negative']"
استفاده ازین تی بسیار سخت هست و نیاز به زور بازوی زیاد دارد و کار ادم رو نه تنها راحت نمیکند بلکه سخت تر هم میکندض ,تی,negative,"['ترکیب: Negative', ' eder: Negative', ' کارایی: Negative']"
استفاده نکردن از پایدار کننده تصاویر برای دوربین و فلش دوگانه و فوکوس لیزری. دریچه دیافراگم یکم باز تر بود بهتر میشد انتظارf:۲/۴ با این مشخصات از سامسونگ انتظار میرفت. وزنش یک گرم نسبت به نسل قبلیش کم شده ولی ضخامتش کمی بیشتر شده ولی درعوض ویژگی هایی مثل قطب نما و حسگر اثر انگشت بهش اضافه شدن و موقعیت حسگر عالی و جاوی گوشی هست باتری ظرفیت بالایی داره و با وجود بدنه فلزی قابل تعویض توسط کاربره که یه ویژگی عالیه. باید اقرار کنم سامسونگ منو شگفت زده کرد . تراشه، چیپست همونه مدل ۲۰۱۶ هست و هیچ تفاوتی نکرده. در عوض حافظه داخلی و رم افزایش پیدا کرده ولی ای کاش به جای فناوری ips از سوپرامولد بهره میگرفت ولی تراکم پیکسلی رو به سیصد و هشتاد پیکسل کاهش میداد یا همینو حفظ میکرد. شبکه ارتباطیcat۴ دیگه قدیمی شده و cat۱۲ الآن موجوده ای کاش یکم شبکه ارتباطیش به روز تر بود. حسگر اثر انگشتشم به اندازه اپل دقیق نیست. نمیدونم چرا به جای اندروید نوقا از مارشمالو استفاده کردن. اگه نوقا میزدن بهتر بود. ,"موقعیت حسگر, باتری, شبکه ارتباطیش, وزنش, رم, ضخامتش, حسگر اثر انگشتشم, حافظه داخلی","positive, positive, negative, positive, positive, negative, negative, positive","[' پایدار کننده تصاویر: Positive', ' دیافراگم: Positive', ' وزن: Negative', 'قطب نما: Positive', 'حسگر اثر انگشت: Positive', 'باتری: Positive', 'بدنه: Positive', 'تراشه: Neutral', 'حافظه: Positive', 'شبکه: Negative', 'حسگر اثر انگشت: Negative']"
استفاده ۳ ماه از این گوشی این گوشی به نظر من مخصوص بازی کردن است از دوربینش بگم که عکاسی با کیفیت عالی میندازه باتریش که حرف نداره و میتونه توی ۱ روز استفاده باتری رو نگه داره از صفحه نمایش بگم که عالیه چون از سوپر امولد استفاده شده انتن دهی که متوسط و اندرویدشم بروز هستش ,"صفحه نمایش, باتریش, انتن دهی, دوربینش","positive, positive, neutral, positive","['ïse: Positive', 'دوربین: Positive', 'باتری: Negative', 'صفحه نمایش: Positive', 'انتن دهی: Negative']"
اسمی ۳۲ گیگ هست ولی ظرفیت واقعی که نشون میده ۲۹ گیگ هست از نظر سرعت متوسطه ولی خوب چیز خوب و جمع و جوری هست ,سرعت,neutral,"['حجم: Negative', 'سرعت: Positive', 'جمع و جوری: Positive']"
اسنس برند متوسطیه جایگاهش تو المان یه چیز تو مایههای مای خودمونه کیفیت محصولاتش هم متوسطه مثلا من با این ریمل حساسیت چشمهام که مدتها بود خوب شده بود برگشت ولی دوستانم که خریدن هنوز شکایتی نکردن فقط اینکه مژه هارو میچسبونه و میماسه قیمت پیشنهاد ویژه خوبه و از این جهت میارزه که بهرحال یه برند پشتش هست و با این قیمت فقط از ریملهای بی نام و نشون دستفروشها میشه خرید کرد! مرسی ,"اسنس, کیفیت محصولاتش","neutral, neutral","['ریمل: Positive', 'مژه: Negative', 'قیمت: Positive']"
اسپری با دوام بالا و موثر ژل شستشو کارامد و موثر کف اصلاح خوب ولی نسبت به دو محصول قبلی در رده متوسطیه ,اسپری,neutral,"['دوام: Positive', 'ظرف شستشو: Positive', 'برنامهuckoo: Positive', ' Quality: Negative']"
اسپری خوشبویی هست پخش بو رو معمولا از اسپری نباید توقع داشت چون معمولا عطرها پخش بو دارن ولی با این حال پخش بوی متوسطی داره ,پخش بوی,neutral,"['بو: Negative', ' Flavor: Positive']"
اسپیکر خوبیه فقط یه مشکل داره بدنش اگه یه جسمی بکشی روش رنگش میره. حتی ناخن. رنگش خیلی ضعیفه ,"رنگش, اسپیکر","negative, positive","[' Spouder: Positive', 'Color: Negative']"
اسپیکر خوش ساخت ولی بیس کمی داره در کل متوسطه ,"اسپیکر, بیس","neutral, negative","['ساخت: Positive', 'بیس: Negative', 'کل: Average']"
اسپیکر رو در بد ترین جای ممکن گزاشتن موقع بازی دست ادم همش میره روش اگه میزاشتن حاشیه پایین عالی میشد با دوربینش کارایی میشه کرد که که با هیچ دوربینی به این راحتی نمیشه کرد در کل تنها عیبش همین اپیکرشه ولی گوشیه عالیهه ,اسپیکر,negative,"['اسپیکر: Negative', 'بد: Negative', 'عمول بازی: Positive', '...');"
"اسپیکر زیبا و شیکیی صدای بلند با کیفیتی داره خود محصول و کابلش کیفیت قابل قبول و خوبی داره توی مشخصات محصول گفته نشده و دوستان اطلاعات درستی ندادن راجبه وات روی خود اسپیکر خورده ۵w*۲,در کل اسپیکر خوبیه وا جوابگوی یه اتاق کاااامل هست حتی بیشتر تنها ضعفش بیس متوسطشه که بازم ضعیف نیست و باتوجه با قیمتش خیلی خوبه … ",بیس,neutral,"['اسپیکر: Positive', 'شیکیی صدا: Positive', 'کیفیتی: Positive', 'alışوب: Negative']"
اسکنر بسیار خوب وچاپ خوب امکان کپی سیاه و سفید یا رنگی و عالی نسبت به قیمت. ,اسکنر,positive,"['اسکنر: Positive', 'چاپ: Positive', 'م Color: Positive']"
اصلا از امپر انتظار نداشتم عطرش بوی عطر مشهدی رو بده خیلی بوی بی کلاسی داره. نخرید …ماندگاریشم چند ساعته نهایتش ,"عطر مشهدی, امپر, عطرش","negative, negative, negative","['امپر: Negative', 'عطرش: Negative', 'بوی: Positive']"
اصلا از خریدش راضی نیستم. من همزمان با این گوشی یه گوشی نواپلاس هواوی هم برای فامیلمون با همین قیمت خریدم ولی پشیمونم که منم نواپلاس نگرفتم. این گوشی از نظر دوربین، صفحه نمایش، حسگر اثر انگشت، زیبایی و سرعت در مقابل نواپلاس حرفی واسه گفتن نداره. تنها برتریش نسبت به نواپلاس استفاده از دو سیم کارت همزمان با کارت اس دیه. ,"حسگر اثر انگشت،, سرعت, دوربین،, صفحه نمایش،","negative, negative, negative, negative","['دوربین: Negative', 'صفحه نمایش: Neutral', 'حسگر اثر انگشت: Neutral', 'زیبا: Neutral', 'سرعت: Neutral', 'سیم کارت: Positive']"
اصلا ازش راضی نیستم همون هفته اولی که خریدم ردش کرم رفت قیمت بالای داره واقعا حیفه پولتونو بابت این گوشی بدین به جای این گوشی میتونین Y۷ prime. p۹ lite. p۸۲۰۱۷ بخرین که از این گوشی قمیت های پایین تری هم دارند ,قیمت,negative,"['قیمت: Negative', 'حافظه: Negative', 'ظرفیت: Positive']"
اصلا ازش راضی نیستم چون بعد یه ماه بخاطر کیفیت پایین سیم سر سوکتهاش قطع شدن دیگه بدون استفاده موند ,سیم سر سوکتهاش,negative,"['سیم: Negative', 'سر سوکتها: Negative']"
اصلا اصلا جنس خوبی نداره نسبت به قیمت اصلیش به هیچ وجه ارزش نداره لبه هاش تیزه روی خود قاشق دونه های فرو رفته وجود داره روی هیچ کدوم از پارچه هاش مارکش نوشته نشده یه جنس بسیار بد چینی هست تنها مزیتش کاربرد قطعاتشه ,"جنس, لبه هاش, قاشق, چینی, قیمت اصلیش, جنس","negative, negative, negative, negative, negative, negative","[' جنس: Negative', 'لبه هاش: Negative', 'دونه‌های فرو رفته: Negative', ' Arkansas: Negative', 'چینی: Negative', 'قطعاتشه: Positive']"
اصلا باتری خوبی نداره. زود شارژ تموم میکنه. با این قیمت میشه گوشی بهتری در برند های دیگه رو گرفت ,باتری,negative,"['باتری: Negative', 'شارژ: Positive', 'цена: Positive']"
اصلا بدرد نمیخوره خودتم به زور بوش رو حس میکنی تا حالا یه نفر بهم نگفته عطر زدی چون بوش نمیاد پخش بوش ضعیفه و ماندگاری نداره ,پخش بوش,negative,"['رو: Negative', 'ضعیفه: Negative', 'ماندگاری: Negative']"
اصلا خریدش رو حتی تو شگفت انگیز توصیه نمی کنم. ملاک خرید من وزن مناسب و قشنگیش بود. شش ماه پیش توی شگفت انگیز از دیجی کالا خریدم ولی نسبت به مارک های دیگه ای که داشتم اصلا کیفیت خوبی نداشت. گوشی من رو به زور یک بار شارژ می کنه. در صورتیکه طبق استاندارد باید سه بار شارژ کنه ,کیفیت,negative,"['وزن: Positive', 'قشنگی: Positive', '品質: Negative', 'شارژ: Negative']"
اصلا خوب نیست کارتریج خیلی گرونه زود تمام میشه اگر خواستین پرینتر بگیرین. پرینتر لیزری بگیرین گرون تر است ولی اصلا پشیمون نمی شین ,"پرینتر لیزری, کارتریج","positive, negative","[' کارتریج: Negative', 'سرعت: Negative', 'لیزری: Positive']"
اصلا خوب نیست کنترل بازیش که اصلا کار نمیکنه من سفارش دادم دو هفته بعد به دستم رسید وقتی هم رسید جای که گوشی در ان قرار میگیره شکسته بود کنترل بازیش هم جای باطری هاش رابط اتصال دو باطری نبود جای که گوشی در ان قرار میگرفت اصلا خوب نبود گوشی من که ۵/۹اینچ بود داخلش جا نگرفت از هیچ نظر خوب نبود با قیمت پیشنهاد ویژه هم نمی ارزید ,کنترل بازیش,negative,"['کنترل بازیش: Negative', 'جایی باطری: Negative', ' Jersey: Negative', ' dimensioni: Negative', 'قیم: Negative']"
اصلا خوب نیست …. بدرد نخور الان دارم باش تایپ میکنم برید دنبال یه گوشیه خوب با این قیمت بهتر از این گیرتون میاد مگه این که بخواین پز بلک بریو بدین …. ,بلک بریو,negative,"['برنامه: Negative', ' Design: Positive', ' macrophages: Positive', ' cytotoxicity: Positive']"
اصلا دوربین خوبی نداره کسی که دوربین گوشی براش مهمه سمت این گوشی نیاد ,دوربین,negative,"['د befinden: Negative', 'بار ExecuteAsync: Negative']"
اصلا راحت نیست ضخامتش خیلی زیاده و بدتر باعث کمردرد میشه ,"ضخامتش, راحت","negative, negative","['ظ ...'حجم: Negative', 'ضخامتش: Positive']"
اصلا راضی نیستم هم از طراحی هم از کارایی تازه ۲۰۱۶ خیلی بهتره به نظر من نسبت به قیمنت نمی ار زد و به جاش به نضر من یک زره پول بزارید روش یک iphone SE or Samsung Galaxy s۶ بخریم ,"۲۰۱۶, Samsung Galaxy s۶, iphone SE","positive, positive, positive","['طراحی: Negative', ' کارایی: Positive', ' macrophage: Negative']"
اصلا سامسونگ با این گوشی خراب کرده هواوی پی نه لایت هم قیمتش خیلی خیلی کمتر ه هم سخت افزارش خیلی خیلی بهتر از اینه ,سخت افزارش,positive,"['خراب ['هواوی': Negative', 'لایت: Negative', 'قیمت: Positive', 'هارد افزارش: Positive']"
اصلا طراحی خوبی نداره ,طراحی,negative,"['طراحی: Positive', 'žení: Positive']"
اصلا ظاهر پر خطو خش حتی جاهایی تیرگی داره به شدت طراحیش بده. و وقتی اعتراض کردم و خواستم مرجوع کنم با مشکل مواجه شدم در کل بسیار ناراضی ,"ظاهر, طراحیش","negative, negative","['خطو: Negative', 'خوروش: Negative', 'yordu: Negative']"
اصلا نخرید خیلی بی خوده اصلا سرعت خوبی نداره خیلی هم زشت ,سرعت,negative,"[' selbst: Negative', 'سرعت: Positive', 'زشت: Negative']"
اصلا پیشنهاد نمی کنم. کیفیت خیلی ضعیف ,کیفیت,negative,['qualität: Negative']
اصلا پیشنهاد نمیشه خیلی دیر شارژ میشه تیغش کوچیکه اصلاح باهاش زمان میبره موتورش قدرت متوسطی داره اصلا یک دست کوتاه نمیکنه بدرد ته ریش نمیخوره و درجه هاش اون چیزی که نشون میده نیست و بیشتر میزنه ,موتورش,neutral,"[' Charge Time: Negative', ' Size: Positive', 'Motor Power: Average', 'Hand Grip: Negative', 'Grip Range: Negative', 'Rating: Unsatisfactory']"
اصلا پیشنهاد نمیکنم باتری بسیار ضعیفه حتی با وجود پاوربانکم باز اذیت میشی نور صفحشم بسیار کمه تو آفتاب هیچی معلوم نیست کیفیتم بسیار پایینه ۳ بار مراجعه کردم به گارانتی. ,"باتری, نور صفحشم, کیفیتم","negative, negative, negative","['باتری: Negative', 'نور: Negative', '品質: Negative']"
اصلا پیشنهاد نمیکنم بدنه اش خیلی ضعیفه حواست نباشه زود میشکنه و … ,بدنه اش,negative,"['بدنه: Negative', 'حواست: Negative', 'مشکنه: Negative']"
اصلا پیشنهاد نمیکنم به هیچ وجه نخرید گوشی در حد پایینتر از متوسطه ,گوشی,negative,"['برنامه‌cování: Negative', ' Design: Negative', '的功能ها: Negative', ' macrophages: Negative']"
اصلا پیشنهاد نمیکنم خیلی کیفیتش پایینه و موادشیمیایش طوریکه حالت تهوع میاره ,"تهوع, کیفیتش","negative, negative","['qualität: Negative', 'مواد: Negative']"
اصلا گوشی خوبی نیس برا مثال شما این گوشی رو با honor ۸ lite مقایسه کن اصن شاخ در میاری مثلا این گوشی اندروید ۶ داره اون یکی ۷ اون فرکانس پردازنده دوتا داره این یکی اصلا گوشی های سامسونگ نسبت به قیمت نمیارزه ,"قیمت, گوشی","negative, negative","['شاخ: Negative', 'فرکانس پردازنده: Positive', ' cytotoxicity: Positive', 'قیم: Negative']"
اطلا نخرید پشیمون میشید بعد از چند بار در آوردن برای شارژ و … توش کنده میشه و با خود ساعت میاد بیرون و دیگه مثل اولش نمیشه … رنگشم بعد از چند بار آب خوردن و عرق دست و … خراب میشه ,"رنگشم, توش","negative, negative","['پشیمون: Negative', 'توش: Negative', 'ساعت: Negative', '색: Negative', 'دست: Negative']"
افت قیمت بالای گوشیهای ال جی نسبت به برندهای دیگه ,قیمت,negative,['قیمت: Negative']
افتضاع با چنین قیمتی میتوان یک مدل خوب با قابلیت های زیاد از برند هوآوی و یا ال جی و سایر برند ها خرید. در کل از خریدن گوشی های سامسونگ پشیمانی میاره ,گوشی های سامسونگ,negative,"['قيمة: Positive', 'قابلیت ها: Positive', ' Quality: Positive', 'Price: Positive']"
افرادی که به فکر بازی و عکاسی و استفاده زیاد از یک موبایل هستند، این گوشی برایشان عالی ست. ,گوشی,positive,"['بازیکن: Positive', 'çekاسی: Positive', ' Utility: Positive']"
اقا این گوشی اصلا نسبت به قیمتش به درد نمیخوره و هیچ چیزم نداره دیجی کالا دارم یکم بی انصافی میکنه نسبت به گوشی های هواوی   گوشی y۷ prime رو یکم بررسی کنید همچیش سرتر از اینه حتی مدل جدید همین مدل j۷ ۲۰۱۷  در ضمن نسبت به قیمتش واقن بالاست گوشی هواوی y۷ prime قیمتش کمتره همه چیش سرتره از این و در ضمن باتریش ۴۰۰۰ میلی امپره که راحت ۳ روز جواب میده باتریش  خداوکیلی پولتونو بیرون نریزید یکم تو خریدش دقت کنید چیزی زیادی نداره برای عزضه حتی مدل جدیدش j۷ ۲۰۱۷ ,"گوشی, قیمتش, باتریش","negative, negative, negative","['قیمت: Negative', 'برنامه‌نویسی: Positive', 'باتری: Negative', ' Design: Positive', 'Model: Negative']"
اقا درسته قیمتش کمه ولی دلیل نمی شه چون قیمتش کمه گزینه ای خوب برا خرید باشه این ساعت باتریش خیلی بده ضد اب نیست همش هنگ می کنه و سیستم عامل نداره و کیفیتش فوق العاده پایینه حالا اگه اینا برات مهم نیست و دلیل خریدت قیمت پایینشه بخرش اینم بدونین ساعتی که هم دوربین داره هم سیم کارت می خوره هم کارت حافظه الکی ارزون نیست ,"کیفیتش, این ساعت, باتریش","negative, negative, negative","['قیمت: Negative', 'باتری: Negative', 'سیستم عامل: Negative', 'qualität: Negative', ' دوربین: Positive', ' Cameroun: Positive']"
اقا من دو ماهیه که ۲۰۱۷ فولشو خریدم ماشین فوق العاده خوبی در کراس اورها میباشد راحت و زیبا فقط موتور از لحاظ قدرت متوسط میباشد ۱۶۵ اسب ضعیفه البته مدل توربو شارژ هم داره که وارد نشده با قدرت ۱۷۷ اسب ,قدرت,neutral,"['موتور: Negative', ' اسب: Negative', ' Turbo Charge: Positive']"
