Fa_sentenc,En_aspect,En_sentiment
اصلا نخرید خیلی بی خوده اصلا سرعت خوبی نداره خیلی هم زشت ,"['محصول', '  سرعت', ' قیمت']","[' Negative', ' Negative', ' Negative']"
اصلا پیشنهاد نمی کنم. کیفیت خیلی ضعیف ,['اصلا پیشنهاد نمی کنم. کیفیت خیلی ضعیف '],[' Negative']
اصلا پیشنهاد نمیشه خیلی دیر شارژ میشه تیغش کوچیکه اصلاح باهاش زمان میبره موتورش قدرت متوسطی داره اصلا یک دست کوتاه نمیکنه بدرد ته ریش نمیخوره و درجه هاش اون چیزی که نشون میده نیست و بیشتر میزنه ,"['محصول', ' شروع شارژ', ' تیغ', ' اصلاح', ' موتور', ' میدر ریش']","[' Negative', ' Negative', ' Negative', ' Negative', ' Neutral', ' Negative']"
اصلا پیشنهاد نمیکنم باتری بسیار ضعیفه حتی با وجود پاوربانکم باز اذیت میشی نور صفحشم بسیار کمه تو آفتاب هیچی معلوم نیست کیفیتم بسیار پایینه ۳ بار مراجعه کردم به گارانتی. ,"['بatterie', ' پاوربانک', ' نور صفحش', ' کیفیتم']","[' Negative', ' Negative', ' Negative', ' Negative']"
اصلا پیشنهاد نمیکنم بدنه اش خیلی ضعیفه حواست نباشه زود میشکنه و … ,['بدنه'],[' Negative']
اصلا پیشنهاد نمیکنم به هیچ وجه نخرید گوشی در حد پایینتر از متوسطه ,"['گوشی', ' باتری']","[' Negative', ' Negative']"
اصلا پیشنهاد نمیکنم خیلی کیفیتش پایینه و موادشیمیایش طوریکه حالت تهوع میاره ,"[' اصلا پیشنهاد نمیکنم خیلی کیفیتش پایینه و موادشیمیایش طوریکه حالت تهوع میاره \n\nکیفیت', ' موادشیمیاش']","[' Negative', ' Negative']"
اصلا گوشی خوبی نیس برا مثال شما این گوشی رو با honor ۸ lite مقایسه کن اصن شاخ در میاری مثلا این گوشی اندروید ۶ داره اون یکی ۷ اون فرکانس پردازنده دوتا داره این یکی اصلا گوشی های سامسونگ نسبت به قیمت نمیارزه ,"['گوشی', ' اندروید', ' پردازنده', ' قیمت']","[' Negative', ' Neutral', ' Neutral', ' Negative']"
اطلا نخرید پشیمون میشید بعد از چند بار در آوردن برای شارژ و … توش کنده میشه و با خود ساعت میاد بیرون و دیگه مثل اولش نمیشه … رنگشم بعد از چند بار آب خوردن و عرق دست و … خراب میشه ,"['اطلا نخرید پشیمون میشید', ' پشیمون بعد از چند بار در آوردن برای شارژ و توش کنده میشه و با خود ساعت میاد بیرون', ' رنگشم بعد از چند بار آب خوردن و عرق دست و … خراب میشه']","[' Negative', ' Neutral', ' Negative']"
افت قیمت بالای گوشیهای ال جی نسبت به برندهای دیگه ,"['گوشی', ' قیمت بالای']","[' Positive', ' Negative']"
افتضاع با چنین قیمتی میتوان یک مدل خوب با قابلیت های زیاد از برند هوآوی و یا ال جی و سایر برند ها خرید. در کل از خریدن گوشی های سامسونگ پشیمانی میاره ,"['گوشی', ' قیمت']","[' Negative', ' Negative']"
افرادی که به فکر بازی و عکاسی و استفاده زیاد از یک موبایل هستند، این گوشی برایشان عالی ست. ,['موبایل'],[' Positive']
اقا این گوشی اصلا نسبت به قیمتش به درد نمیخوره و هیچ چیزم نداره دیجی کالا دارم یکم بی انصافی میکنه نسبت به گوشی های هواوی   گوشی y۷ prime رو یکم بررسی کنید همچیش سرتر از اینه حتی مدل جدید همین مدل j۷ ۲۰۱۷  در ضمن نسبت به قیمتش واقن بالاست گوشی هواوی y۷ prime قیمتش کمتره همه چیش سرتره از این و در ضمن باتریش ۴۰۰۰ میلی امپره که راحت ۳ روز جواب میده باتریش  خداوکیلی پولتونو بیرون نریزید یکم تو خریدش دقت کنید چیزی زیادی نداره برای عزضه حتی مدل جدیدش j۷ ۲۰۱۷ ,"['گوشی', ' قیمت', ' باتری']","[' Negative', ' Negative', ' Positive']"
اقا درسته قیمتش کمه ولی دلیل نمی شه چون قیمتش کمه گزینه ای خوب برا خرید باشه این ساعت باتریش خیلی بده ضد اب نیست همش هنگ می کنه و سیستم عامل نداره و کیفیتش فوق العاده پایینه حالا اگه اینا برات مهم نیست و دلیل خریدت قیمت پایینشه بخرش اینم بدونین ساعتی که هم دوربین داره هم سیم کارت می خوره هم کارت حافظه الکی ارزون نیست ,"['قیمت', ' باتری', '  ضد اب', ' سیستم عامل', ' کیفیت']","[' Neutral', ' Negative', ' Negative', ' Negative', ' Negative']"
اقا من دو ماهیه که ۲۰۱۷ فولشو خریدم ماشین فوق العاده خوبی در کراس اورها میباشد راحت و زیبا فقط موتور از لحاظ قدرت متوسط میباشد ۱۶۵ اسب ضعیفه البته مدل توربو شارژ هم داره که وارد نشده با قدرت ۱۷۷ اسب ,"['ماشین', ' راحت', ' زیبا', ' موتور', ' مدل توربو شارژ']","[' Neutral', ' Positive', ' Positive', ' Neutral (but with some negativity)', ' Positive']"
اقا من چند روزی میشه این گوشی رو گرفتم هرکسی تو فروشگاه این گوشی رو ببینه مجذوب ظاهر قشنگش میشه با رنگ های متنوع از این لحاظ خوبه، صفحه نمایش خوبی داره اینترنت ۴٫۵ جی رو ساپورت میکنه و همچنین otg. دوربین در جلو و عقب کیفیت خوبی داره، چیزی که بعد چند روز استفاده تو ذوق ادم میزنه اینه باطریش جوابگو این cpu و صفحه نمایش نیست و اگر استفادتون زیاده. از گوشی مجبورید روزی شاید دوبار شارژ کنید البته چون ظرفیت باطریش زیاد نیست و فست شارژ داره خیلی زود هم شارژ میشه، یکی دیگه از معایبش نداشتن سوکت ۳٫۵ هست که شمارومجبور به استفاده از تنها هنذفری خودش میکنه و اینکه در زمان شارژ نمیتونید با هنذفری موزیک گوش بدین، صدای پخش اسپیکرش زیاد و قابل قبوله ولی به نظر من کیفیت و وضوح خوبی نداره در زمان استفاده از بازی مقداری داغ میشه بدنه گوشی ولی خب طبیعیه در اکثر گوشی ها. سیمکارت نانو دوعدد بهش میخوره ولی سیم دو با رم هیبریدیه البته با حافظه ۶۴ گیگ دیگه به رم نیاز ندارید، اینم بگم به نظرم جای دکمه کم و زیاد کردن ولوم رو که در سمت راست گوشی قسمت بالایی تعبیه کردن زیاد راحت نیست جاش، بعضی برنامه های مورد نیاز رو گوشی من نداشت مثل مدیریت فایل و گالری که خودم نصب کردم یه ایراد دیگه ای که من بهش برخوردم اینه نمیشه از کدهای ussd استفاده کرد و تا میای عملیات رو کامل کنی ارور میده عجیبه این در ضمن اندرویدش فعلا ۶ هست و تا الان به اندروید ۷ یا ۸ اپدیت نشده در مورد رجیستری هم خدمت دوستان بگم فعلا شامل اچ تی سی نمیشه و شما وقتی روشن کنید و سیمکارت بندازید کار تمومه و فعال شده، در مورد صدای مکالمه هم خوبه موردی نداره، کیبوردش بعضی حروف رو مثل ژ نداشت که من یه کیبورد دیگه نصب کردم ,"['Here is the output for the given product review in Persian', '\n\nگوشی مجذوب ظاهر قشنگش میشه با رنگ های متنوع از این لحاظ خوبه']","[' Positive\nصفحه نمایش خوبی داره', ' Neutral\nاینترنت ۴٫۵ جی رو ساپورت میکنه و همچنین otg', ' Positive\nدوربین در جلو و عقب کیفیت خوبی داره', ' Positive\nباتریش جوابگو این cpu و صفحه نمایش نیست و اگر استفادتون زیاده', ' Negative\nاز گوشی مجبورید روزی شاید دوبار شارژ کنید', ' Neutral\nسیمکارت نانو دوعدد بهش میخوره ولی سیم دو با رم هیبریدیه', ' Neutral\nاینم بگم به نظرم جای دکمه کم و زیاد کردن ولوم رو که در سمت راست گوشی قسمت بالایی تعبیه کردن زیاد راحت نیست جاش', ' Negative\nبعضی برنامه های مورد نیاز رو گوشی من نداشت مثل مدیریت فایل و گالری که خودم نصب کردم', ' Neutral\n نمیشه از کدهای ussd استفاده کرد و تا میای عملیات رو کامل کنی ارور میده عجیبه این در ضمن اندرویدش فعلا ۶ هست و تا الان به اندروید ۷ یا ۸ اپدیت نشده', ' Negative\nدر مورد رجیستری هم خدمت دوستان بگم فعلا شامل اچ تی سی نمیشه و شما وقتی روشن کنید و سیمکارت بندازید کار تمومه و فعال شده', ' Neutral\nدر مورد صدای مکالمه هم خوبه موردی نداره', ' Positive\nکیبوردش بعضی حروف رو مثل ژ نداشت که من یه کیبورد دیگه نصب کردم', ' Negative']"
اقا واقعا گوشه عالیه من که خیلی ازش راضیم الانم دو سه ماهه دارمش ,['گوشه'],[' Positive']
اقا چرا تعصبی رو یه برند نظر میدیداچ تی سی رابط کاربری فوق العاده کیفیت ساخت عالی بلندگوهای عالی ولی متاسفانه دیگه بوم ساند نیستند تو این مدل دوربین خوب باطری متوسط اینکه اچ تی سی گوشیهای خوبی داره شکی نیست ولی بعد از ام ۷ دیگه اچ تی سی اون کمپانی سابق نشد و داره ضرر میده شایدم به سرنوشت نوکیا دچار بشه بعدشم بعید میدونم تو این نسل فروش خوبی داشته باشه دربرابر طراحیای ماژولار ال جی دوربین و قدرت گوشیهای سامسونگ گوشیهای اپل و قیمتای رقابتی هواوی کسب سهم مناسب برای اچ تی سی سخته با اینکه پرچمدار جدیدش کیفیت ساخت بالایی داره اما بهترین نیست من مقایسه سرعت این گوشی با ال جی جی ۵ و اس ۷ اج دیدم تو یکی از سایتای ایرانی اصلا نتونست با اون ۲ تا رقابت کنه و کم اورد در کل انتخاب خوبیه اچ تی سی ولی بهتریننیست ,"['برند', ' رابط کاربری', ' کیفیت ساخت', ' بلندگوهای', ' دوربین', ' باطری', '  گوشیهای اپل', ' قیمت رقابتی', ' طراحی ماژولار', ' سamsung', ' huawei', ' lg', ' iphone']","[' Neutral', ' Positive', ' Positive', ' Positive', ' Positive', ' Negative', ' Neutral', ' Neutral', ' Neutral', ' Neutral', ' Neutral', ' Neutral', ' Neutral']"
الان بعد یه مدت که زدم یه جورایی معتاد بویش شدم و همیشه دوست دارم از همین ادکلنم استفاده کنم! پخش بوی متوسطی داره ولی خودت واقعا لذت میبری ,"['ادکلن', ' پخش بوی متوسط']","[' Positive', ' Neutral']"
الان به دستم رسید سشوار بامزه ایه اما از چیزی ک فکر میکنید خیلی کوچیک تره قدرت ش متوسطه به نطر من ب درد خشک کردن موهای بچه یا موی کم کاربرد داره زیاد هم نمیشه ازش کار کشید قیمتشم ب نظر من اگه تو شگفت انگیز بخیرید بیشتر میصرفه اما بازم ممنونم از دیجی کالا ب موقع رسید ,"['سشوار', ' قدرت ش', ' قیمت', ' کارکرد']","[' Neutral', ' Neutral', ' Neutral', ' Negative']"
الان به دستم رسید ممنون از دیجی کالا با این سرعت پردازشش لازم بگم که من خیلی وقت بود برای دویدن صبحگاهیم نیاز به یه هدفون خوب داشتم و فکر نکنم بیشتر از من دنبال هدفون گشته باشید بعد کلی کلنجار این هدفون رو خریدم از دیجی واقعا عالیه حتما پیشنهاد میکنم ,['هدفون'],[' Neutral']
الان تو بالاترین قیمت خودشه صبر کنین یکی دو ماه دیگه میاد پایین بخرین ,['محصول'],[' Neutral']
الان دارم این نقد رو با xa ultra مینویسم خیلی بابت باتری نگران بودم اما با آپدیت اندروید این مشکل تا حدی حل شد یعنی اگر شما کسی هستید که بازی سنگین نمی کنید این گوشی بهترین انتخابه. در خصوص تاچ گوشی که شنیده بودم ضعیفه باید بگم اصلا اینطور نیس و خیالتون راحت باشه فقط باتری ضعیفه که اونم با کمی مراعات درست میشه در کل من واقعا راضیم. ,"['xa ultra', ' باتری', ' but resolved with Android update)', ' تاچ', ' بازی سنگین']","[' Neutral', ' Neutral ( initial concern', ' Positive', ' Negative']"
الان دو روزه که من این لپ تاپ رو خریدم و میتونم بگم که خیلی لپ تاپ قوی و خوشگلیه! تنها چیزی که به نظرم میتونست بهتر باشه صفحه نمایشش بود که کیفیت متوسطی داره و برای من که زیاد فیلم و سریال نگاه میکنم مناسب نبود! به غیر از صفحه نمایش در هیچ چیز دیگهای مشکلی ندیدم و راضی بودم مخصوصا هارد دو ترابایتیش که یکی از دلایلی بود که من این لپ تاپ رو خریدم چون معمولا برای ذخیره فیلم و بازی دچار مشکل میشدم که این لپ تاپ خیال منو راحت کرد تا حالا بازی هایی مثل dota۲ و cs go رو نصب کردم و به راحتی بازی کردم و مشکل لگ نداشتم بازی call of duty رو هم نصب کردم و رو تنظیمات بالا بازی کردم و مشکلی ندیدم … در کل از پردازنده و گرافیک این لپ تاپ خیلی راضیم! کسایی که میخوان این لپ تاپ رو بگیرن پشیمون نمیشن البته در این بازه قیمتی میتونین لپ تاپ acer ۵۷۴g رو هم یه نگاهی بندازین که اون هم لپ تاپ خوبیه اون دوست عزیزی که در وصل شدن با وای فای مشکل داشتن بدونن که اون کادری که شما اول میبینین برای وارد کردن رمز نیست بلکه برای وارد کردن شماره مودمه! باید گزینه زیر اون کادر رو بزنین و بعدش یه کادر دیگه میاد و اونجا رمز وای فای رو وارد کنین با تشکر ,"['لپ تاپ قوی و خوشگلیه!', ' not suitable for the reviewer)\nهارد دو ترابایتی', ' The sentiment analysis only considers the aspects mentioned in the review', ' and does not include other potential aspects that might be relevant to the product.']","[' Positive\nصفحه نمایش', ' Negative (quality is average', ' Positive (hard drive of 2 terabytes was a major reason for buying this laptop)\nپردازنده', ' Positive\nگرافیک', ' Positive\n\nNote']"
الان دو ماه و نیم که این گوشی رو دارم همه چیزش عالیه. حتی سنگین ترین بازی ها رو هم میتونین روش اجرا کنین حافظه ش هم با یک میکرو اس دی تامین میشه دوربین فوق العاده ای داره صفحه نمایش با کیفیت و از همه مهم تر ظرفیت بالای باتری و اندروید نوقا که به زودی اپدیت میشه … ,"['گوشی', ' حافظه', ' دوربین', ' صفحه نمایش', ' ظرفیت بالای باتری']","[' Positive', ' Positive', ' Positive', ' Positive', ' Positive']"
الان سه ماهه این هندزفری رو دارم و روی گوشی اندروید امتحان کردم واقعا فوق العاده کار می کنه سریع وصل میشه توی گوش راحته مدت زیادی با یک بار شارژ کار می کنه و کیفیت صدای خوبی داره من این هندزفری رو توی ویژه خریدم واقعا توی این رنج هیچی به پاش نمیرسه ,"['هندزفری', ' قبل از شارژ', ' قیمت']","[' Positive', ' Positive', ' Neutral']"
الان نزدیک به ۵ ماهه گوشی رو خریدم. از همه نظر عالیه و حتما پیشنهاد میکنم بخرید. فقط دوربین مقداری ضعیف و به قولی تجاری هست که اونم با توجه به قیمت اصلا مشکلی نیست. در کل بخرین و حالشو ببرین. پیشنهاد میکنم یه آیفون ۶ هم در کنارش داشته باشین تا هر وقت با ایفون اشتباه گرفتنش ضایع نشین و بگین البته ایفون ۶ هم دارم. ,"['گوشی', ' دوربین', ' قیمت', ' ایفون ۶']","[' Positive', ' Positive', ' Neutral', ' Neutral']"
الان که به نصف کتاب رسیدم فقط می تونم بگم فوق العاده هست. حتما بخونید این داستان رو. ,['کتاب'],[' Positive']
الان گوشی رسید. همه چیش عالیه. فقط دوربینش ضعیفه …آرایش چهره اصلا نداره.. دوربین سلفی ضعیف ,"['گوشی', ' دوربین', ' باتری']","[' Positive', ' Positive', ' Negative']"
الان یه هفته ای میشه خریدمش و بسیار گوشی خوبی هست گوشی پر توانی هست و برای عاشق های بازی خوبه از دوربینش هم هرچی گفتم کم گفتم بهتون پیشنهاد میکنم بخریدش ,"['گوشی پر توانی', ' دوربینش', ' قیمت']","[' Positive', ' Positive', ' Neutral']"
الان یک ماه میشه که بعد از تحقیقات فراوان برای خرید هندزفری یا هدست خوب. در نهایت این محصول رو از دی جی کالا تهیه کردم. کیفیت صداش و اینکه در بالاترین سطح صداو هیچ نویزی به بیرون درز نمیده اولش شگفت زده م کرد و بعدش باتریش که بعد از مسافرت دو روزه که کلا اهنگ گوش دادمو تازه مدیوم بود. ,"[' هندزفری/هدست', ' کیفیت صداش', ' باتری']","[' Positive', ' Positive', ' Positive']"
الان ۵ ماهه خریدم واقعا خوبه، حسگر اثر انگشتش خیلی خوبه، اگه رم ۴ داشت عالی میشد، تو این رنج قیمت گوشی عالی هست مخصوصا که ضد آب هم هست، باطری عالی داره از ۹ صبح تا ۷ شب تقریبا ۳۵ درصد از شارژش میمونه با مصرف زیاد که اصلا احتیاج به بردن پاور بانک و شارژر ندارم، فقط از وقتی اندرید را به نسخه ۷ ارتقا دادم بعضی وقتا خیلی به ندرت هنگ میکنه که باید ریستارت کنم ولی در کل خیلی راضی هستم از خریدش دوربین جلو خوبی نداره ولی دوربین اصلیش عالیه فقط عیبش اینه لرزشگیر نداره که باید مراقب باشید دست نلرزه موقع عکاسی ,"['سنسور اثر انگشت', '  رم ۴', ' قیمت', ' ضدآب بودن', ' باطری', ' شارژ ساعتی', ' اندرید ارتقا', ' هنگ کردن اندرید', ' دوربین جلو', ' دوربین اصلی']","[' Positive', ' Neutral', ' Positive', ' Positive', ' Positive', ' Positive', ' Neutral', ' Negative', ' Negative', ' Positive']"
الجی بدترین مارک تو گوشی اندروید هستش به گرد پای هواوی Y۶llحتی هم نمیرسه گوشی هواوی ازاین بهتره ارزش نداره حیف پولی که به این گوشی دادم حیف پولتونو تو جوب نریزید الجی گوشی خوبی نیس ,"['جی', ' مارک تو', ' گوشی هواوی', ' ارزش']","[' Negative', ' Negative', ' Positive', ' Negative']"
الجی بدترین مارک تو گوشی اندروید هستش به گرد پای هواوی هم نمیرسه گوشی هواوی Y۶ll حتی ازاین بهتره ارزش نداره حیف پولی که به این گوشی دادم حیف پولتونو تو جوب نریزید الجی گوشی خوبی نیس ,"['جی', ' مارک', ' قیمت', ' هواوی Y۶ll']","[' Negative', ' Negative', ' Negative', ' Positive']"
الجی بدترین مارک تو گوشی اندروید هستش به گرد پای هواوی هم نمیرسه گوشی هواوی Y۶llحتی ازاین بهتره ارزش نداره حیف پولی که به این گوشی دادم حیف پولتونو تو جوب نریزید الجی گوشی خوبی نیس ,"['جی', ' مارک تو', ' گوشی هواوی Y۶', ' پول']","[' Negative', ' Negative', ' Positive', ' Negative']"
الجی گوشی خوبی نیس اکثرا لگ داره هنگ میکنه چون پردازندش اسنپ دراگون هستش این گوشی با این قیمت ارزش نداره الجی بدترین مارک تو گوشی هستش. ,"['جی', ' پردازندش']","[' Negative', ' Negative']"
الجی یه چیزه دیگس فقط باید بلد باشی استفاده کنی. در جواب دوستمون که بحث سی پی یو کردن اینکه جدید ترین نسخه رو نصب کردن افتخار نیست سخت افزار مناسب طراحی کردن برای ساختمان سی پی یو و خروجی خالص تو هر رده مهمه. در مورد دوست دیگه که گفته بود پرچمدار باید ۶۴ گیگ باشه به عرض برسونم که جی ۶ داره و هیچ مشکلی نداره ولی پرچمدار ۶۴ گیگی سامسونگ حدود ۵۰ درصدشون مشکل خرابی هارد دارن. در مورد کسانی که اطلاع ندارن هم به عرض برسونم الجی یکی از بزرگترین تولید کننده های صفحه نمایش تو دنیا هست که حتی صفحه نمایش های ایفون رو هم تولید میکنه و سامسونگ برای اینکه از زیر یوق الجی در بیاد امولد رو ساخت. ,"['سی پی یو', ' سخت افزار مناسب', ' پرچمدار ۶۴ گیگی سامسونگ', ' حالت خروجی', ' Important (neutral)', ' جی ۶']","[' Neutral', ' Positive', ' Negative', ' Positive']"
امروز این محصول به دستم رسید در اولین استفاده واقعا احساس خوب و لذت بخشی داشتم کاملا پوست تمیز و شفاف میکنه ,"['محصول', ' پوست', ' تمیز و شفاف بودن']","[' Positive', ' Positive', ' Positive']"
امروز این پرینتر به دستم رسید وقتی تست کردم واقعا عالی بود و کیفیت چاپ و کپی آن خیلی بالا بود البته نصب آن کمی زمان میبرد اما اگر میخواهید پرینتر بخرید من این پرینتر رو پیشنهاد میکنم ,['پرینتر'],"[' Positive\nکیفیت چاپ و کپی', ' Positive\nنصب', ' Neutral']"
امروز این کابل به دستم رسید و بلافاصله امتحانش کردم مشخص شد از فست شارژ ساپورت میکنه خدا را شکر کیفیت ساختش در حد متوسطی هست و در سطحی پایینتر از برندهای anker و aukey که قبلا استفاده کردم قرار داره ولی خوب به قیمتش میارزه ,"['کابل', ' فست شارژ ساپورت', ' کیفیت ساختش', ' قیمت']","[' Neutral', ' Positive', ' Neutral', ' Positive']"
امروز این گوشی رو با گوشی خودم که پی تن لایته مقایسه کردم. دوستم برا باز کردن قفل پنج بار حسگر رو لمس کرد و تشخیص نمیداد. دوربین با اینهمه پولی که میدی لرزشگیر نداره. سامسونگ خوب پولی میگیره بابت گوشیهایی که واقعا این قیمت نمی ارزن. الجی. اچ تی سی و هواوی باارزشتره ,"['گوشی', ' قفل', ' دوربین', ' لرزشگیر', ' پولی']","[' Negative', ' Negative', ' Negative', ' Negative', ' Positive']"
امروز ب دستم رسید یکم کوچیکه نسبت ب قیمتش پوشانندگی هم متوسطه خیلی قوی نبود ک بگم عالیه یکمم پوستم رو پوسته پوسته کرد ولی سبک و ماته در کل یکم گرونه نسبت ب قیمت و کیفیتش فک نکنم دیگه ازش بخرم ,['گرونه'],"[' Neutral\nقیمتش', ' Negative\nپوشانندگی', ' Negative\nکیفیتش', ' Negative\nسبک و ماته', ' Neutral\nپوسته پوسته کرد', ' Negative']"
امروز بالاخره بعد از یک هفته دستم رسید، ممنون از دیجیکالا بابت تاخیر بعمل اومده، البته زحمات بسیار زیاد اداره پست رو هم در این تاخیر نمیشه نادیده گرفت، به نظر من در مقابل مبلغ پرداختی چه در حالت عادی و چه در حالت شگفت انگیز کاملا خریدش توجیه پذیره، قیافه و سایز قابل قبولی داره حجم صدا و امکانات اتصال خوبی داره، حجم باتری و مدت پخشش هم خیلی خوبه، البته دو تا نکته منفی هم به نظرم اومد یکی اینکه بند حملش اصلا جالب نیست و باید یه دسته پلاستیکی یا یه بند ثابت میداشت و نکته منفی دیگه اینکه تفکیک صدا نسبت به حجمش خیلی ضعیفه، البته با توجه به نکات مثبتش میشه اینارو نادیده گرفت، در کل بسیار مناسب برای فضای بازه … ,"['دست', ' قیافه', ' سایز', ' حجم صدا', ' اتصالات', ' حجم باتری', ' مدت پخش', ' بند حمل', ' تفکیک صدا']","[' Positive', ' Positive', ' Positive', ' Positive', ' Positive', ' Positive', ' Positive', ' Negative', ' Negative']"
امروز بدستم رسید کیفیت متوسطه صدای خوبی داره در هنگام مکالمه صدای من خوب میره ولی صدای طرف بد میاد کیفیت پلاستیک و بدنش متوسطه من رنگ سفیدشو گرفتم ولی به زیبایی عکسش نبود کیفیت پلاستیک و دکمهها جالب نیست قسمت فلزی و ابریش خوبه انتظار بیشتری ازش داشتم نکته خاصی ازش دیدم بهتون میگم اول ژانویه ,"['قیمت', ' صدای خوب', ' صدا در هنگام مکالمه', ' صدای طرف', ' کیفیت پلاستیک و بدنش', ' رنگ سفید', ' زیبایی عکسش', ' کیفیت پلاستیک و دکمهها', ' قسمت فلزی و ابریش']","[' Neutral', ' Positive', ' Positive', ' Negative', ' Neutral', ' Neutral', ' Negative', ' Negative', ' Positive']"
امروز بدستم رسید. کیفیته ساختش عالیه و سرعت شارژش هم خوبه درکل به قیمتش میرزه ,"['کیفیت ساختش', ' سرعت شارژش', ' قیمتش']","[' Positive', ' Positive', ' Neutral']"
امروز به دستم رسید از نظر کیفیت و طراحی فوق العاده زیبا و مقاوم هستش پیشنهاد میکنم ,"['محصول', ' کیفیت و طراحی', ' مقاومت']","[' Positive', ' Positive', ' Positive']"
امروز به دستم رسید با اندروید راحت کانکت میشه برا pc یکم دنگ فنگ داره باید حرفهای وارد باشی تا کانکت شه دسته رو به عنوان کیبورد میشناسه نه گیم پد کیفیتش هم متوسطه نمیشه گفت خیلی خوبه ,"['اندروید', ' کانکتینگ با pc', ' دنگ فنگ داره', ' حرفهای وارد باید باشی تا کانکت شه', ' کیبورد دسته رو میشناسه نه گیم پد', ' کیفیتش متوسطه نمیشه گفت خیلی خوبه']","[' Neutral', ' Positive', ' Neutral', ' Neutral', ' Neutral', ' Negative']"
امروز به دستم رسید به نظر بنده کیفیت صداش متوسطه صداهای زیر رو خوب پخش نمیکنه اگه فرکانسها رو بصورت دستی تنظیم کنید خوب میشه رو جت ایدیو تنظیم کردم خوب بود ولی فقط تو پیشنهاد ویژه توصیه میکنم و اگر میخواید تو این رنج هزینه کنید سونی خوبه ,"['صدا', ' Medium (positive for low frequencies', ' negative for high frequencies)', ' کیفیت', ' قیمت']","[' Positive', ' Neutral']"
امروز به دستم رسید توی تصویر یکم اندازه ش بزرگتر دیده میشه ولی اندازه ش متوسطه بسیار شیک هست وزنش خیلی سبکه کیفیت و دوختش خیلی تمیز و خوبه بوی چرمش هم واضحه رنگش از تصویرش خیلی قشنگتره اهنرباش خیلی با کیفیت و قویه در کل راضی ام کیف خاصیه ,"['ابعاد', ' اندازه ش', ' وزن', ' کیفیت و دوختش', ' بوی چرمش', ' رنگش', ' اهنرباش']","[' Neutral', ' Neutral', ' Positive', ' Positive', ' Positive', ' Positive', ' Positive']"
امروز به دستم رسید جنسش شدیدا ضعیفه و فقط با قیمت شگفت انگیز میارزه … ,"['محصول', ' قیمت']","[' Negative', ' Positive']"
"امروز به دستم رسید در اولین اتصال متوجه شدم گوشی سمت راست کار نمیکنه!!!! یک جفت سری یدک هم در بسته بندی نبود!!!! این کالا اصالت نداشته و فیک میباشد!! و هدفونی با این مشخصات و نوع و شکل این بسته بندی در هیچ کجای اینترنت یافت نمیشه الا ایران!!! وزن گوشی ها از سیم سبکتره و همین باعث میشه با کوچکترین حرکت سیم , گوشی از حالت نرمال توی گوش جابجا بشه. و در بیاد.. بیس هم ضعیفه به درد گوش کردن موسیقی نمیخوره … من کالا رو کلا مرجوع کردم قراره دوشنبه بیان تحویل بگیرن …. خریدش رو به هیچ عنوان توصیه نمیکنم ","['سیم', ' وزن', ' بسته بندی', ' قیمت/کالا']","[' Negative', ' Negative', ' Negative', ' Negative']"
امروز به دستم رسید در مورد برند که نیازی به گفتن من نیست وسترن دیجیتال عالیه از نظر ظاهری و اندازه خیلی عالیه فقط چون ی قسمت براق داره حتما یک کیف هم براش سفارش بدین که خط و خش نیوفته سرعت انتقال داده متوسط و قابل قبول دغدغهی اصلی من اتصال به گوشی موبایلم بود که خیلی عالی وصل شد فقط کاش یکم کابلش بلندتر بود در کل پیشنهاد میکنم اگر دنبال یه هارد عالی با ظرفیت بالا و قیمت مناسب هستین در خرید این محصول شک نکنید ,"['برند', ' وسترن دیجیتال', ' ظاهری و اندازه', ' قسمت براق', '  کیف', ' خط و خش', '  سرعت انتقال داده', ' اتصال به گوشی موبایلم', ' کابلش']","[' Neutral', ' Positive', ' Positive', ' Neutral', ' Suggested (Neutral)', ' Neutral', ' Acceptable (Neutral)', ' Positive', ' Suggested (Negative)']"
امروز به دستم رسید صدای بسیار بلندی دارد و واقعا باورتون نمیشه که این هدفون با گوشی اندازه متوسط همچین بیس و بلندی صدایی داشته باشد ولی وضوح و کیفیت صدا معمولی هستش و وضوحش مثل بیس و بلندی صدا عالی نیست ساخت چین هستش ولی کیفیت ساختش بد نیست و کاملا قابل قبوله کابل aux همراهش نیست اگر از اون دسته بر و بچزی هستید که عاشق بیس و بلندی صدا هستید این هدفون انتظاراتتون را براورده میکند من یک موبایل پی هشت هواوی دارم که به راحتی از طریق بلوتوث به هدفون وصل شد اندازه هدفون متوسط هستش و کمی از هدفونهای برند نیا بزرگتره ولی خیلی بزرگ هم نیست خریدش را با توجه به قیمت مناسبش و اسم سونی که روی هدفونها هک شده و کلی کلاس دارد توصیه میکنم ,"[' صدای', ' وضوح صدا', ' کیفیت ساخت', ' ساخت چین', ' کابل aux', ' بیس و بلندی صدا']","[' Positive', ' Neutral', ' Neutral', ' Neutral', ' Negative', ' Positive']"
