sentence,aspect,polarity,LLM_aspect
ازش راضی ام صدای بلند وا با کیفیتی داره حتما پیشنها میکنم ,صدای,positive,"['محصول: Positive', 'صدا: Positive', 'کیفیت: Positive']"
ازلحاظ عطروطعم ومزه اصلا درحد روسای لاواتزا نیست ولی خب قهوه بدی هم نیست درحد متوسطه پیشنهاد من لاواتزا هست با قیمت کمتر وکیفیت بهتر ,لاواتزا,positive,"ازلحاظ عطروطعم ومزه اصلا درحد روسای لاواتزا نیست ولی خب قهوه بدی هم نیست درحد متوسطه پیشنهاد من لاواتزا هست با قیمت کمتر وکیفیت بهتر
['عطروطعم ومزه: Neutral', 'قیمت: Positive', 'کیفیت: Positive']"
ازهر لحاظ عالی هر جای خونه باشه نیازی به دیزاین نداره بشدت حجم صدای زیادی داره راحت میشه باهاش یه مساحت زیادی رو صدای واضح پخش کرد. تو خونه که مطمئن باشید از بیس و سر وصداش همسایه ها میان سراغتون در کل با سایر برند ها قابل مقایسه نیست و توی کار خودش تکه در ضمن هارمن کلیه سیستم های صوتی ماشین های بنز و بی ام دبلیو و اکثر گوشیای پرچمدار و لپتاپا دیده میشه برند گمنامی نیست ,حجم صدای,positive,"['صوت: Excellent', 'حجم صدای زیادی داره: Positive']"
ازهمه لحاظ عاشقش میشید اقایک کلام میگم بهترینه ازهمه لحاظ من خودم رنگ مشکی روخریدم واقعاعالی دوربین هاجفتش عالی رابطه کاربری ک حرف نداره والاتاگوشی رونگیری دستت نمیتونی الکی درموردش حرف الکی بزنی ,"رنگ مشکی, دوربین هاجفتش, رابطه کاربری","positive, positive, positive","['محصول: Positive', 'رنگ مشکی: Neutral', 'دوربین: Positive', 'رابطه کاربری: Positive', 'والتا: Neutral']"
ازهمه لحاظ عطر متوسطیه میتونید با یکم پول بیشتر انتخابای بهتری کنید ,عطر,neutral,"'عطر: Negative', 'میتونید انتخابای بهتری کنید: Neutral'"
ازهمه نظرعالیه توخریدش شک نکنید هم صدا هم شارژش فوق العادس ,هم صدا هم شارژش,positive,"[product: Positive, خریدش: Positive, صدا: Positive, شارژش: Positive]"
ازین هندزفری دو تا از دیجی کالا خریدم. یکی رو هدیه دادم و یکی هم همین امروز برای خودم خریدم و الانم دارم باهاش موزیک گوش میدم. خیلی خوبه. راضیم ,هندزفری,positive,['هندزفری: Positive']
استارت موتور هارد با تاخیر اجرا میشه یعنی بعد از یه مدت که استندبای شد با دابل کلیک بر محتویات هارد، با چند ثانیه مکث مواجه میشین بسیار حساس به ضربه حتی ضربه های خیلی ضعیف در کل با قیمت فروش ویژه هارد مناسبیه اما با ریسک بالا ,استارت موتور هارد,negative,"['موتور هارد: Neutral', 'تاخیر اجرا: Negative', 'محتویات هارد: Neutral', 'ضربه حساس بودن: Negative', 'قیمت فروش ویژه هارد: Neutral']"
استفاده ازش اسونه قلمش بعد از یه مدت سرش نرم میشه خط کشیدن باهاش یه کم سخت میشه ولی در کل راحته ماندگاریش متوسطه رنگش اگه مشکیتر بود بهتر میشد یه حالت مشکی مات داره ,ماندگاریش,neutral,"['قلمش: Neutral', 'رنگش: Suggestive (better if black)', 'ماندگاریش: Neutral']"
استفاده ازین تی بسیار سخت هست و نیاز به زور بازوی زیاد دارد و کار ادم رو نه تنها راحت نمیکند بلکه سخت تر هم میکندض ,تی,negative,['تی: Negative']
استفاده نکردن از پایدار کننده تصاویر برای دوربین و فلش دوگانه و فوکوس لیزری. دریچه دیافراگم یکم باز تر بود بهتر میشد انتظارf:۲/۴ با این مشخصات از سامسونگ انتظار میرفت. وزنش یک گرم نسبت به نسل قبلیش کم شده ولی ضخامتش کمی بیشتر شده ولی درعوض ویژگی هایی مثل قطب نما و حسگر اثر انگشت بهش اضافه شدن و موقعیت حسگر عالی و جاوی گوشی هست باتری ظرفیت بالایی داره و با وجود بدنه فلزی قابل تعویض توسط کاربره که یه ویژگی عالیه. باید اقرار کنم سامسونگ منو شگفت زده کرد . تراشه، چیپست همونه مدل ۲۰۱۶ هست و هیچ تفاوتی نکرده. در عوض حافظه داخلی و رم افزایش پیدا کرده ولی ای کاش به جای فناوری ips از سوپرامولد بهره میگرفت ولی تراکم پیکسلی رو به سیصد و هشتاد پیکسل کاهش میداد یا همینو حفظ میکرد. شبکه ارتباطیcat۴ دیگه قدیمی شده و cat۱۲ الآن موجوده ای کاش یکم شبکه ارتباطیش به روز تر بود. حسگر اثر انگشتشم به اندازه اپل دقیق نیست. نمیدونم چرا به جای اندروید نوقا از مارشمالو استفاده کردن. اگه نوقا میزدن بهتر بود. ,"موقعیت حسگر, باتری, شبکه ارتباطیش, وزنش, رم, ضخامتش, حسگر اثر انگشتشم, حافظه داخلی","positive, positive, negative, positive, positive, negative, negative, positive","['سامسونگ: Neutral',
'پایدار کننده تصاویر: Negative',
'دوربین و فلش دوگانه: Negative',
'فوکوس لیزری: Negative',
'دریچه دیافراگم: Positive',
'باتری: Positive',
'وزن: Neutral',
'ضخامت: Neutral',
'قطب نما: Positive',
'حسگر اثر انگشت: Positive',
'موقعیت حسگر: Positive',
'باتری قابل تعویض: Positive',
'تراشه، چیپست: Negative',
'حافظه داخلی و رم: Positive',
'فناوری IPS: Neutral',
'تراکم پیکسلی: Neutral',
'شبکه ارتباطی: Negative',
'حسگر اثر انگشت (واحد اپل): Negative',
'اندروید نوقا: Negative']"
استفاده ۳ ماه از این گوشی این گوشی به نظر من مخصوص بازی کردن است از دوربینش بگم که عکاسی با کیفیت عالی میندازه باتریش که حرف نداره و میتونه توی ۱ روز استفاده باتری رو نگه داره از صفحه نمایش بگم که عالیه چون از سوپر امولد استفاده شده انتن دهی که متوسط و اندرویدشم بروز هستش ,"صفحه نمایش, باتریش, انتن دهی, دوربینش","positive, positive, neutral, positive","['گوشی: Positive', 'دوربین: Positive', 'باتری: Positive', 'صفحه نمایش: Positive', 'انتن دهی: Neutral']"
اسمی ۳۲ گیگ هست ولی ظرفیت واقعی که نشون میده ۲۹ گیگ هست از نظر سرعت متوسطه ولی خوب چیز خوب و جمع و جوری هست ,سرعت,neutral,"['اسمی: Neutral', 'ظرفیت واقعی: Negative', 'سرعت: Positive']"
اسنس برند متوسطیه جایگاهش تو المان یه چیز تو مایههای مای خودمونه کیفیت محصولاتش هم متوسطه مثلا من با این ریمل حساسیت چشمهام که مدتها بود خوب شده بود برگشت ولی دوستانم که خریدن هنوز شکایتی نکردن فقط اینکه مژه هارو میچسبونه و میماسه قیمت پیشنهاد ویژه خوبه و از این جهت میارزه که بهرحال یه برند پشتش هست و با این قیمت فقط از ریملهای بی نام و نشون دستفروشها میشه خرید کرد! مرسی ,"اسنس, کیفیت محصولاتش","neutral, neutral","['اسنس: Neutral', 'جایگاهش تو المان یه چیز مایههای مای خودمونه: Neutral', 'کیفیت محصولاتش: Neutral', 'ریمل: Mixed (Positive and Negative)', 'قیمت پیشنهاد ویژه: Positive']"
اسپری با دوام بالا و موثر ژل شستشو کارامد و موثر کف اصلاح خوب ولی نسبت به دو محصول قبلی در رده متوسطیه ,اسپری,neutral,"[اسپری: Positive]
[دوام بالا و موثر: Positive]
[ژل شستشو کارامد: Positive]
[کف اصلاح خوب: Positive]
[نسبت به دو محصول قبلی در رده متوسطیه: Negative]"
اسپری خوشبویی هست پخش بو رو معمولا از اسپری نباید توقع داشت چون معمولا عطرها پخش بو دارن ولی با این حال پخش بوی متوسطی داره ,پخش بوی,neutral,['اسپری: Neutral']
اسپیکر خوبیه فقط یه مشکل داره بدنش اگه یه جسمی بکشی روش رنگش میره. حتی ناخن. رنگش خیلی ضعیفه ,"رنگش, اسپیکر","negative, positive","['اسپیکر: Positive', 'بدن: Negative']"
اسپیکر خوش ساخت ولی بیس کمی داره در کل متوسطه ,"اسپیکر, بیس","neutral, negative","['اسپیکر: Positive', 'بیس: Negative']"
اسپیکر رو در بد ترین جای ممکن گزاشتن موقع بازی دست ادم همش میره روش اگه میزاشتن حاشیه پایین عالی میشد با دوربینش کارایی میشه کرد که که با هیچ دوربینی به این راحتی نمیشه کرد در کل تنها عیبش همین اپیکرشه ولی گوشیه عالیهه ,اسپیکر,negative,"['سپیکر: Negative', 'قابلیت کار با دوربین: Positive']"
"اسپیکر زیبا و شیکیی صدای بلند با کیفیتی داره خود محصول و کابلش کیفیت قابل قبول و خوبی داره توی مشخصات محصول گفته نشده و دوستان اطلاعات درستی ندادن راجبه وات روی خود اسپیکر خورده ۵w*۲,در کل اسپیکر خوبیه وا جوابگوی یه اتاق کاااامل هست حتی بیشتر تنها ضعفش بیس متوسطشه که بازم ضعیف نیست و باتوجه با قیمتش خیلی خوبه … ",بیس,neutral,"['سپیکر: Positive', 'کیفیت کابل: Positive', 'مشخصات محصول: Neutral', 'قیمت: Positive']"
اسکنر بسیار خوب وچاپ خوب امکان کپی سیاه و سفید یا رنگی و عالی نسبت به قیمت. ,اسکنر,positive,"['اسکنر: Positive', 'چاپ: Positive']"
اصلا از امپر انتظار نداشتم عطرش بوی عطر مشهدی رو بده خیلی بوی بی کلاسی داره. نخرید …ماندگاریشم چند ساعته نهایتش ,"عطر مشهدی, امپر, عطرش","negative, negative, negative","['امپر: Negative', 'عطرش: Positive']"
اصلا از خریدش راضی نیستم. من همزمان با این گوشی یه گوشی نواپلاس هواوی هم برای فامیلمون با همین قیمت خریدم ولی پشیمونم که منم نواپلاس نگرفتم. این گوشی از نظر دوربین، صفحه نمایش، حسگر اثر انگشت، زیبایی و سرعت در مقابل نواپلاس حرفی واسه گفتن نداره. تنها برتریش نسبت به نواپلاس استفاده از دو سیم کارت همزمان با کارت اس دیه. ,"حسگر اثر انگشت،, سرعت, دوربین،, صفحه نمایش،","negative, negative, negative, negative","['دورنمایش: Negative', ' صفحه نمایش: Negative', 'حسگر اثر انگشت: Neutral', 'زیبایی: Negative', ' سرعت: Negative']"
اصلا ازش راضی نیستم همون هفته اولی که خریدم ردش کرم رفت قیمت بالای داره واقعا حیفه پولتونو بابت این گوشی بدین به جای این گوشی میتونین Y۷ prime. p۹ lite. p۸۲۰۱۷ بخرین که از این گوشی قمیت های پایین تری هم دارند ,قیمت,negative,"['قیمت: Negative', 'کرم رفت: Negative']"
اصلا ازش راضی نیستم چون بعد یه ماه بخاطر کیفیت پایین سیم سر سوکتهاش قطع شدن دیگه بدون استفاده موند ,سیم سر سوکتهاش,negative,'سیم سر سوکتهاش: Negative'
اصلا اصلا جنس خوبی نداره نسبت به قیمت اصلیش به هیچ وجه ارزش نداره لبه هاش تیزه روی خود قاشق دونه های فرو رفته وجود داره روی هیچ کدوم از پارچه هاش مارکش نوشته نشده یه جنس بسیار بد چینی هست تنها مزیتش کاربرد قطعاتشه ,"جنس, لبه هاش, قاشق, چینی, قیمت اصلیش, جنس","negative, negative, negative, negative, negative, negative","['جنس: Negative', 'قیمت اصلیش: Negative', 'لبه هاش: Neutral', 'پارچه هاش: Neutral', 'مارکش: Negative', 'قطعاتشه: Neutral']"
اصلا باتری خوبی نداره. زود شارژ تموم میکنه. با این قیمت میشه گوشی بهتری در برند های دیگه رو گرفت ,باتری,negative,"['باتری: Negative', 'شارژ: Negative']"
اصلا بدرد نمیخوره خودتم به زور بوش رو حس میکنی تا حالا یه نفر بهم نگفته عطر زدی چون بوش نمیاد پخش بوش ضعیفه و ماندگاری نداره ,پخش بوش,negative,['بوش: Negative']
اصلا خریدش رو حتی تو شگفت انگیز توصیه نمی کنم. ملاک خرید من وزن مناسب و قشنگیش بود. شش ماه پیش توی شگفت انگیز از دیجی کالا خریدم ولی نسبت به مارک های دیگه ای که داشتم اصلا کیفیت خوبی نداشت. گوشی من رو به زور یک بار شارژ می کنه. در صورتیکه طبق استاندارد باید سه بار شارژ کنه ,کیفیت,negative,"['خرید: Negative', 'وزن و قشنگیش: Positive', 'کیفیت: Negative', 'شارژ: Negative']"
اصلا خوب نیست کارتریج خیلی گرونه زود تمام میشه اگر خواستین پرینتر بگیرین. پرینتر لیزری بگیرین گرون تر است ولی اصلا پشیمون نمی شین ,"پرینتر لیزری, کارتریج","positive, negative","اصلا خوب نیست کارتریج خیلی گرونه زود تمام میشه اگر خواستین پرینتر بگیرین. پرینتر لیزری بگیرین گرون تر است ولی اصلا پشیمون نمی شین
        
        ['کارتریج: Negative', 'پرینتر: Neutral']"
اصلا خوب نیست کنترل بازیش که اصلا کار نمیکنه من سفارش دادم دو هفته بعد به دستم رسید وقتی هم رسید جای که گوشی در ان قرار میگیره شکسته بود کنترل بازیش هم جای باطری هاش رابط اتصال دو باطری نبود جای که گوشی در ان قرار میگرفت اصلا خوب نبود گوشی من که ۵/۹اینچ بود داخلش جا نگرفت از هیچ نظر خوب نبود با قیمت پیشنهاد ویژه هم نمی ارزید ,کنترل بازیش,negative,"['محصول: Negative', 'کنترل بازیش: Negative', 'جای گوشی در ان قرار میگیره: Broken', 'رابط اتصال دو باطری: Negative', 'قیمت: Not Worth It']"
اصلا خوب نیست …. بدرد نخور الان دارم باش تایپ میکنم برید دنبال یه گوشیه خوب با این قیمت بهتر از این گیرتون میاد مگه این که بخواین پز بلک بریو بدین …. ,بلک بریو,negative,"['گوشیه: Negative', 'قیمت: Better', 'پز بلک بریو: Negative']"
اصلا دوربین خوبی نداره کسی که دوربین گوشی براش مهمه سمت این گوشی نیاد ,دوربین,negative,['دوربین: Negative']
اصلا راحت نیست ضخامتش خیلی زیاده و بدتر باعث کمردرد میشه ,"ضخامتش, راحت","negative, negative","اصلا راحت نیست ضخامتش خیلی زیاده و بدتر باعث کمردرد میشه.

[راحت: Negative, ضخامتش: Negative, کمردرد: Negative]"
اصلا راضی نیستم هم از طراحی هم از کارایی تازه ۲۰۱۶ خیلی بهتره به نظر من نسبت به قیمنت نمی ار زد و به جاش به نضر من یک زره پول بزارید روش یک iphone SE or Samsung Galaxy s۶ بخریم ,"۲۰۱۶, Samsung Galaxy s۶, iphone SE","positive, positive, positive","['قیمت: Negative', 'طراحی: Neutral', 'کارایی: Negative']"
اصلا سامسونگ با این گوشی خراب کرده هواوی پی نه لایت هم قیمتش خیلی خیلی کمتر ه هم سخت افزارش خیلی خیلی بهتر از اینه ,سخت افزارش,positive,"['سامسونگ: Negative', 'قیمت: Positive', 'سخت افزارش: Positive']"
اصلا طراحی خوبی نداره ,طراحی,negative," اصلا طراحی خوبی نداره
['طراحی: Negative']"
اصلا ظاهر پر خطو خش حتی جاهایی تیرگی داره به شدت طراحیش بده. و وقتی اعتراض کردم و خواستم مرجوع کنم با مشکل مواجه شدم در کل بسیار ناراضی ,"ظاهر, طراحیش","negative, negative","اصلا ظاهر پر خطو خش حتی جاهایی تیرگی داره به شدت طراحیش بده. و وقتی اعتراض کردم و خواستم مرجوع کنم با مشکل مواجه شدم در کل بسیار ناراضی 

['ظاهر: Negative', 'طراحی: Negative']"
اصلا نخرید خیلی بی خوده اصلا سرعت خوبی نداره خیلی هم زشت ,سرعت,negative,"['محصول: Negative', ' سرعت: Negative', 'قیمت: Negative']"
اصلا پیشنهاد نمی کنم. کیفیت خیلی ضعیف ,کیفیت,negative,[اصلا پیشنهاد نمی کنم. کیفیت خیلی ضعیف : Negative]
اصلا پیشنهاد نمیشه خیلی دیر شارژ میشه تیغش کوچیکه اصلاح باهاش زمان میبره موتورش قدرت متوسطی داره اصلا یک دست کوتاه نمیکنه بدرد ته ریش نمیخوره و درجه هاش اون چیزی که نشون میده نیست و بیشتر میزنه ,موتورش,neutral,"['محصول: Negative', 'شروع شارژ: Negative', 'تیغ: Negative', 'اصلاح: Negative', 'موتور: Neutral', 'میدر ریش: Negative']"
اصلا پیشنهاد نمیکنم باتری بسیار ضعیفه حتی با وجود پاوربانکم باز اذیت میشی نور صفحشم بسیار کمه تو آفتاب هیچی معلوم نیست کیفیتم بسیار پایینه ۳ بار مراجعه کردم به گارانتی. ,"باتری, نور صفحشم, کیفیتم","negative, negative, negative","['بatterie: Negative', 'پاوربانک: Negative', 'نور صفحش: Negative', 'کیفیتم: Negative']"
اصلا پیشنهاد نمیکنم بدنه اش خیلی ضعیفه حواست نباشه زود میشکنه و … ,بدنه اش,negative,['بدنه: Negative']
اصلا پیشنهاد نمیکنم به هیچ وجه نخرید گوشی در حد پایینتر از متوسطه ,گوشی,negative,"['گوشی: Negative', 'باتری: Negative']"
اصلا پیشنهاد نمیکنم خیلی کیفیتش پایینه و موادشیمیایش طوریکه حالت تهوع میاره ,"تهوع, کیفیتش","negative, negative"," اصلا پیشنهاد نمیکنم خیلی کیفیتش پایینه و موادشیمیایش طوریکه حالت تهوع میاره 

['کیفیت: Negative', 'موادشیمیاش: Negative']"
اصلا گوشی خوبی نیس برا مثال شما این گوشی رو با honor ۸ lite مقایسه کن اصن شاخ در میاری مثلا این گوشی اندروید ۶ داره اون یکی ۷ اون فرکانس پردازنده دوتا داره این یکی اصلا گوشی های سامسونگ نسبت به قیمت نمیارزه ,"قیمت, گوشی","negative, negative","['گوشی: Negative', 'اندروید: Neutral', 'پردازنده: Neutral', 'قیمت: Negative']"
اطلا نخرید پشیمون میشید بعد از چند بار در آوردن برای شارژ و … توش کنده میشه و با خود ساعت میاد بیرون و دیگه مثل اولش نمیشه … رنگشم بعد از چند بار آب خوردن و عرق دست و … خراب میشه ,"رنگشم, توش","negative, negative","['اطلا نخرید پشیمون میشید: Negative', 'پشیمون بعد از چند بار در آوردن برای شارژ و توش کنده میشه و با خود ساعت میاد بیرون: Neutral', 'رنگشم بعد از چند بار آب خوردن و عرق دست و … خراب میشه: Negative']"
افت قیمت بالای گوشیهای ال جی نسبت به برندهای دیگه ,قیمت,negative,"['گوشی: Positive', 'قیمت بالای: Negative']"
افتضاع با چنین قیمتی میتوان یک مدل خوب با قابلیت های زیاد از برند هوآوی و یا ال جی و سایر برند ها خرید. در کل از خریدن گوشی های سامسونگ پشیمانی میاره ,گوشی های سامسونگ,negative,"['گوشی: Negative', 'قیمت: Negative']"
افرادی که به فکر بازی و عکاسی و استفاده زیاد از یک موبایل هستند، این گوشی برایشان عالی ست. ,گوشی,positive,['موبایل: Positive']
اقا این گوشی اصلا نسبت به قیمتش به درد نمیخوره و هیچ چیزم نداره دیجی کالا دارم یکم بی انصافی میکنه نسبت به گوشی های هواوی   گوشی y۷ prime رو یکم بررسی کنید همچیش سرتر از اینه حتی مدل جدید همین مدل j۷ ۲۰۱۷  در ضمن نسبت به قیمتش واقن بالاست گوشی هواوی y۷ prime قیمتش کمتره همه چیش سرتره از این و در ضمن باتریش ۴۰۰۰ میلی امپره که راحت ۳ روز جواب میده باتریش  خداوکیلی پولتونو بیرون نریزید یکم تو خریدش دقت کنید چیزی زیادی نداره برای عزضه حتی مدل جدیدش j۷ ۲۰۱۷ ,"گوشی, قیمتش, باتریش","negative, negative, negative","['گوشی: Negative', 'قیمت: Negative', 'باتری: Positive']"
اقا درسته قیمتش کمه ولی دلیل نمی شه چون قیمتش کمه گزینه ای خوب برا خرید باشه این ساعت باتریش خیلی بده ضد اب نیست همش هنگ می کنه و سیستم عامل نداره و کیفیتش فوق العاده پایینه حالا اگه اینا برات مهم نیست و دلیل خریدت قیمت پایینشه بخرش اینم بدونین ساعتی که هم دوربین داره هم سیم کارت می خوره هم کارت حافظه الکی ارزون نیست ,"کیفیتش, این ساعت, باتریش","negative, negative, negative","['قیمت: Neutral', 'باتری: Negative', ' ضد اب: Negative', 'سیستم عامل: Negative', 'کیفیت: Negative']"
اقا من دو ماهیه که ۲۰۱۷ فولشو خریدم ماشین فوق العاده خوبی در کراس اورها میباشد راحت و زیبا فقط موتور از لحاظ قدرت متوسط میباشد ۱۶۵ اسب ضعیفه البته مدل توربو شارژ هم داره که وارد نشده با قدرت ۱۷۷ اسب ,قدرت,neutral,"['ماشین: Neutral', 'راحت: Positive', 'زیبا: Positive', 'موتور: Neutral (but with some negativity)', 'مدل توربو شارژ: Positive']"
اقا من چند روزی میشه این گوشی رو گرفتم هرکسی تو فروشگاه این گوشی رو ببینه مجذوب ظاهر قشنگش میشه با رنگ های متنوع از این لحاظ خوبه، صفحه نمایش خوبی داره اینترنت ۴٫۵ جی رو ساپورت میکنه و همچنین otg. دوربین در جلو و عقب کیفیت خوبی داره، چیزی که بعد چند روز استفاده تو ذوق ادم میزنه اینه باطریش جوابگو این cpu و صفحه نمایش نیست و اگر استفادتون زیاده. از گوشی مجبورید روزی شاید دوبار شارژ کنید البته چون ظرفیت باطریش زیاد نیست و فست شارژ داره خیلی زود هم شارژ میشه، یکی دیگه از معایبش نداشتن سوکت ۳٫۵ هست که شمارومجبور به استفاده از تنها هنذفری خودش میکنه و اینکه در زمان شارژ نمیتونید با هنذفری موزیک گوش بدین، صدای پخش اسپیکرش زیاد و قابل قبوله ولی به نظر من کیفیت و وضوح خوبی نداره در زمان استفاده از بازی مقداری داغ میشه بدنه گوشی ولی خب طبیعیه در اکثر گوشی ها. سیمکارت نانو دوعدد بهش میخوره ولی سیم دو با رم هیبریدیه البته با حافظه ۶۴ گیگ دیگه به رم نیاز ندارید، اینم بگم به نظرم جای دکمه کم و زیاد کردن ولوم رو که در سمت راست گوشی قسمت بالایی تعبیه کردن زیاد راحت نیست جاش، بعضی برنامه های مورد نیاز رو گوشی من نداشت مثل مدیریت فایل و گالری که خودم نصب کردم یه ایراد دیگه ای که من بهش برخوردم اینه نمیشه از کدهای ussd استفاده کرد و تا میای عملیات رو کامل کنی ارور میده عجیبه این در ضمن اندرویدش فعلا ۶ هست و تا الان به اندروید ۷ یا ۸ اپدیت نشده در مورد رجیستری هم خدمت دوستان بگم فعلا شامل اچ تی سی نمیشه و شما وقتی روشن کنید و سیمکارت بندازید کار تمومه و فعال شده، در مورد صدای مکالمه هم خوبه موردی نداره، کیبوردش بعضی حروف رو مثل ژ نداشت که من یه کیبورد دیگه نصب کردم ,"دکمه کم و زیاد کردن ولوم, کیفیت و وضوح, باطریش","negative, negative, negative","Here is the output for the given product review in Persian:

گوشی مجذوب ظاهر قشنگش میشه با رنگ های متنوع از این لحاظ خوبه: Positive
صفحه نمایش خوبی داره: Neutral
اینترنت ۴٫۵ جی رو ساپورت میکنه و همچنین otg: Positive
دوربین در جلو و عقب کیفیت خوبی داره: Positive
باتریش جوابگو این cpu و صفحه نمایش نیست و اگر استفادتون زیاده: Negative
از گوشی مجبورید روزی شاید دوبار شارژ کنید: Neutral
سیمکارت نانو دوعدد بهش میخوره ولی سیم دو با رم هیبریدیه: Neutral
اینم بگم به نظرم جای دکمه کم و زیاد کردن ولوم رو که در سمت راست گوشی قسمت بالایی تعبیه کردن زیاد راحت نیست جاش: Negative
بعضی برنامه های مورد نیاز رو گوشی من نداشت مثل مدیریت فایل و گالری که خودم نصب کردم: Neutral
 نمیشه از کدهای ussd استفاده کرد و تا میای عملیات رو کامل کنی ارور میده عجیبه این در ضمن اندرویدش فعلا ۶ هست و تا الان به اندروید ۷ یا ۸ اپدیت نشده: Negative
در مورد رجیستری هم خدمت دوستان بگم فعلا شامل اچ تی سی نمیشه و شما وقتی روشن کنید و سیمکارت بندازید کار تمومه و فعال شده: Neutral
در مورد صدای مکالمه هم خوبه موردی نداره: Positive
کیبوردش بعضی حروف رو مثل ژ نداشت که من یه کیبورد دیگه نصب کردم: Negative"
اقا واقعا گوشه عالیه من که خیلی ازش راضیم الانم دو سه ماهه دارمش ,گوشه,positive,['گوشه: Positive']
اقا چرا تعصبی رو یه برند نظر میدیداچ تی سی رابط کاربری فوق العاده کیفیت ساخت عالی بلندگوهای عالی ولی متاسفانه دیگه بوم ساند نیستند تو این مدل دوربین خوب باطری متوسط اینکه اچ تی سی گوشیهای خوبی داره شکی نیست ولی بعد از ام ۷ دیگه اچ تی سی اون کمپانی سابق نشد و داره ضرر میده شایدم به سرنوشت نوکیا دچار بشه بعدشم بعید میدونم تو این نسل فروش خوبی داشته باشه دربرابر طراحیای ماژولار ال جی دوربین و قدرت گوشیهای سامسونگ گوشیهای اپل و قیمتای رقابتی هواوی کسب سهم مناسب برای اچ تی سی سخته با اینکه پرچمدار جدیدش کیفیت ساخت بالایی داره اما بهترین نیست من مقایسه سرعت این گوشی با ال جی جی ۵ و اس ۷ اج دیدم تو یکی از سایتای ایرانی اصلا نتونست با اون ۲ تا رقابت کنه و کم اورد در کل انتخاب خوبیه اچ تی سی ولی بهتریننیست ,باطری,neutral,"['برند: Neutral', 'رابط کاربری: Positive', 'کیفیت ساخت: Positive', 'بلندگوهای: Positive', 'دوربین: Positive', 'باطری: Negative', ' گوشیهای اپل: Neutral', 'قیمت رقابتی: Neutral', 'طراحی ماژولار: Neutral', 'سamsung: Neutral', 'huawei: Neutral', 'lg: Neutral', 'iphone: Neutral']"
الان بعد یه مدت که زدم یه جورایی معتاد بویش شدم و همیشه دوست دارم از همین ادکلنم استفاده کنم! پخش بوی متوسطی داره ولی خودت واقعا لذت میبری ,پخش بوی,neutral,"['ادکلن: Positive', 'پخش بوی متوسط: Neutral']"
الان به دستم رسید سشوار بامزه ایه اما از چیزی ک فکر میکنید خیلی کوچیک تره قدرت ش متوسطه به نطر من ب درد خشک کردن موهای بچه یا موی کم کاربرد داره زیاد هم نمیشه ازش کار کشید قیمتشم ب نظر من اگه تو شگفت انگیز بخیرید بیشتر میصرفه اما بازم ممنونم از دیجی کالا ب موقع رسید ,قدرت ش,neutral,"['سشوار: Neutral', 'قدرت ش: Neutral', 'قیمت: Neutral', 'کارکرد: Negative']"
الان به دستم رسید ممنون از دیجی کالا با این سرعت پردازشش لازم بگم که من خیلی وقت بود برای دویدن صبحگاهیم نیاز به یه هدفون خوب داشتم و فکر نکنم بیشتر از من دنبال هدفون گشته باشید بعد کلی کلنجار این هدفون رو خریدم از دیجی واقعا عالیه حتما پیشنهاد میکنم ,"این هدفون, دیجی کالا","positive, positive",['هدفون: Neutral']
الان تو بالاترین قیمت خودشه صبر کنین یکی دو ماه دیگه میاد پایین بخرین ,قیمت,negative,['محصول: Neutral']
الان دارم این نقد رو با xa ultra مینویسم خیلی بابت باتری نگران بودم اما با آپدیت اندروید این مشکل تا حدی حل شد یعنی اگر شما کسی هستید که بازی سنگین نمی کنید این گوشی بهترین انتخابه. در خصوص تاچ گوشی که شنیده بودم ضعیفه باید بگم اصلا اینطور نیس و خیالتون راحت باشه فقط باتری ضعیفه که اونم با کمی مراعات درست میشه در کل من واقعا راضیم. ,"تاچ, گوشی, باتری","positive, positive, negative","['xa ultra: Neutral', 'باتری: Neutral ( initial concern, but resolved with Android update)', 'تاچ: Positive', 'بازی سنگین: Negative']"
